San Diego,4232,67.53
Los Angeles,26644,63.29
Riverside,5204,53.61
San Bernardino,5815,64.42
Orange,5596,64.86
Sacramento,2343,60.28
Fresno,2149,53.33
Ventura,1178,64.15
Santa Clara,1908,76.27
San Francisco,661,77.03
